crop,season,year,count
Cotton (Kapas),Rabi,2020,3
Bhindi(Okra/Ladysfinger),Kharif,2016,6
Cotton (Kapas),Kharif,2018,11
Sorghum (Jowar/Great Millet),Zaid,2021,2
Cotton (Kapas),Kharif,2021,2
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2021,9
Tomato,Zaid,2017,1
Sorghum (Jowar/Great Millet),Kharif,2021,3
Maize (Makka),Kharif,2021,1
Wheat,Kharif,2021,2
Mango,Zaid,2023,2
Cotton (Kapas),Zaid,2011,5
Turmeric,Rabi,2018,8
Chillies,Rabi,2018,2
Chillies,Rabi,2021,3
Sugarcane (Noble Cane),Kharif,2016,3
Groundnut (pea nut/mung phalli),Rabi,2018,9
Watermelon,Kharif,2011,1
Chillies,Kharif,2022,2
Watermelon,Rabi,2010,1
Onion,Rabi,2010,1
Sorghum (Jowar/Great Millet),Kharif,2016,3
Pomegranate,Rabi,2018,4
Mango,Rabi,2017,1
Mango,Zaid,2022,2
Brinjal,Rabi,2012,3
Brinjal,Rabi,2019,1
Turmeric,Kharif,2014,4
Chillies,Rabi,2015,5
Groundnut (pea nut/mung phalli),Zaid,2019,7
Brinjal,Kharif,2015,8
Maize (Makka),Zaid,2014,3
Turmeric,Zaid,2013,2
Brinjal,Zaid,2012,1
Chillies,Rabi,2019,2
Chillies,Zaid,2014,5
Mango,Zaid,2014,5
Tomato,Rabi,2012,3
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2014,1
Turmeric,Rabi,2012,1
Groundnut (pea nut/mung phalli),Zaid,2016,8
Maize (Makka),Zaid,2016,2
Cotton (Kapas),Zaid,2016,2
Chillies,Rabi,2022,2
Bhindi(Okra/Ladysfinger),Zaid,2015,6
Cotton (Kapas),Zaid,2024,2
Tomato,Zaid,2024,1
Chillies,Zaid,2024,2
Watermelon,Zaid,2024,1
Groundnut (pea nut/mung phalli),Zaid,2024,1
Onion,Kharif,2023,3
Tomato,Rabi,2014,1
Soybean (bhat),Zaid,2013,7
Onion,Rabi,2011,2
Tomato,Zaid,2019,1
Maize (Makka),Rabi,2013,3
Bhindi(Okra/Ladysfinger),Rabi,2013,7
Chillies,Kharif,2014,2
Bhindi(Okra/Ladysfinger),Kharif,2014,3
Sorghum (Jowar/Great Millet),Kharif,2018,1
Soybean (bhat),Kharif,2011,2
Pigeon pea (red gram/arhar/tur),Kharif,2019,3
Mango,Zaid,2017,1
Chillies,Kharif,2013,2
Bhindi(Okra/Ladysfinger),Zaid,2016,8
Watermelon,Zaid,2014,6
Tomato,Rabi,2018,5
Turmeric,Rabi,2013,9
Groundnut (pea nut/mung phalli),Rabi,2011,1
Brinjal,Rabi,2016,4
Soybean (bhat),Rabi,2014,5
Turmeric,Kharif,2017,1
Chillies,Kharif,2016,1
Chillies,Kharif,2023,1
Onion,Zaid,2023,3
Sorghum (Jowar/Great Millet),Zaid,2019,2
Wheat,Kharif,2024,4
Maize (Makka),Zaid,2023,3
Pomegranate,Kharif,2019,3
Maize (Makka),Zaid,2019,1
Sorghum (Jowar/Great Millet),Zaid,2023,1
Pomegranate,Rabi,2025,2
Pomegranate,Zaid,2025,7
Pigeon pea (red gram/arhar/tur),Zaid,2025,1
Chillies,Rabi,2024,3
Soybean (bhat),Zaid,2025,1
Mango,Kharif,2025,3
Chillies,Kharif,2025,6
Sorghum (Jowar/Great Millet),Kharif,2025,4
Sugarcane (Noble Cane),Kharif,2021,2
Cotton (Kapas),Zaid,2021,1
Watermelon,Rabi,2012,1
Tomato,Kharif,2018,1
Tomato,Rabi,2017,2
Bhindi(Okra/Ladysfinger),Kharif,2020,1
Chillies,Rabi,2014,2
Sorghum (Jowar/Great Millet),Kharif,2013,3
Chillies,Kharif,2015,1
Pigeon pea (red gram/arhar/tur),Zaid,2013,1
Sorghum (Jowar/Great Millet),Rabi,2018,3
Maize (Makka),Rabi,2018,3
Pomegranate,Kharif,2017,3
Brinjal,Kharif,2014,1
Onion,Zaid,2010,1
Groundnut (pea nut/mung phalli),Zaid,2010,1
Watermelon,Zaid,2010,1
Tomato,Rabi,2015,1
Sugarcane (Noble Cane),Kharif,2022,3
Onion,Kharif,2012,2
Soybean (bhat),Kharif,2021,1
Wheat,Kharif,2012,1
Groundnut (pea nut/mung phalli),Zaid,2011,2
Soybean (bhat),Rabi,2019,1
Watermelon,Rabi,2023,2
Onion,Zaid,2019,1
Maize (Makka),Zaid,2013,2
Wheat,Kharif,2022,1
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2016,6
Onion,Zaid,2017,2
Brinjal,Kharif,2017,2
Mango,Kharif,2021,1
Groundnut (pea nut/mung phalli),Kharif,2021,1
Chillies,Kharif,2021,1
Pomegranate,Zaid,2023,1
Cotton (Kapas),Zaid,2023,1
Pigeon pea (red gram/arhar/tur),Kharif,2022,4
Pigeon pea (red gram/arhar/tur),Zaid,2015,2
Watermelon,Zaid,2019,4
Sugarcane (Noble Cane),Zaid,2018,4
Onion,Zaid,2018,2
Chillies,Rabi,2013,2
Other Named Crops,Kharif,2011,2
Brinjal,Zaid,2014,4
Chillies,Zaid,2015,3
Watermelon,Zaid,2015,2
Soybean (bhat),Zaid,2022,2
Wheat,Kharif,2019,1
Maize (Makka),Zaid,2015,2
Cotton (Kapas),Zaid,2009,1
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,2025,1
Sorghum (Jowar/Great Millet),Kharif,2022,1
Cotton (Kapas),Zaid,2018,1
Brinjal,Zaid,2018,1
Soybean (bhat),Rabi,2023,4
Watermelon,Zaid,2022,2
Pomegranate,Zaid,2018,2
Pigeon pea (red gram/arhar/tur),Rabi,2018,2
Chillies,Kharif,2019,1
Groundnut (pea nut/mung phalli),Kharif,2014,1
Wheat,Rabi,2008,1
Brinjal,Rabi,2022,1
Mango,Kharif,2016,1
Maize (Makka),Zaid,2022,2
Tomato,Zaid,2015,2
Groundnut (pea nut/mung phalli),Kharif,2011,1
Soybean (bhat),Rabi,2017,2
Turmeric,Kharif,2013,1
Cotton (Kapas),Rabi,2011,1
Brinjal,Rabi,2023,2
Soybean (bhat),Kharif,2020,2
Cotton (Kapas),Rabi,2018,2
Turmeric,Zaid,2014,1
Mango,Kharif,2012,1
Groundnut (pea nut/mung phalli),Rabi,2010,2
Sorghum (Jowar/Great Millet),Kharif,2019,1
Mango,Zaid,2016,1
Chillies,Zaid,2018,1
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2017,3
Turmeric,Kharif,2012,1
Bhindi(Okra/Ladysfinger),Kharif,2019,2
Mango,Kharif,2014,1
Cotton (Kapas),Rabi,2021,2
Tomato,Kharif,2019,1
Mango,Rabi,2012,1
Wheat,Zaid,2009,1
Bhindi(Okra/Ladysfinger),Rabi,2025,1
Wheat,Kharif,2015,2
Bhindi(Okra/Ladysfinger),Rabi,2022,1
Turmeric,Kharif,2023,2
Mango,Zaid,2015,3
Pomegranate,Kharif,2025,2
Brinjal,Kharif,2025,2
Bhindi(Okra/Ladysfinger),Rabi,2017,1
Cotton (Kapas),Zaid,2012,1
Other Named Crops,Zaid,2009,1
Pigeon pea (red gram/arhar/tur),Zaid,2024,1
Pomegranate,Zaid,2024,1
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2015,2
Chillies,Kharif,2020,1
Mango,Kharif,2023,1
Maize (Makka),Kharif,2014,1
Tomato,Zaid,2014,2
Tomato,Kharif,2016,1
Cotton (Kapas),Rabi,2010,2
Sugarcane (Noble Cane),Kharif,2020,1
Sorghum (Jowar/Great Millet),Zaid,2016,1
Bhindi(Okra/Ladysfinger),Zaid,2014,1
Pomegranate,Kharif,2023,1
Chillies,Zaid,2016,2
Turmeric,Kharif,2019,2
Other Named Crops,Rabi,2008,1
Mango,Zaid,2021,1
Maize (Makka),Zaid,2024,1
Brinjal,Kharif,2019,2
Cotton (Kapas),Kharif,2011,1
Brinjal,Rabi,2025,1
