crop,season,year,count
Groundnut (pea nut/mung phalli),Zaid,2022,256
Brinjal,Zaid,2022,241
Cotton (Kapas),Zaid,2022,391
Wheat,Zaid,2022,53
Turmeric,Zaid,2022,133
Onion,Zaid,2022,433
Tomato,Zaid,2022,187
Pomegranate,Zaid,2022,103
Watermelon,Zaid,2022,116
Other Named Crops,Kharif,2020,3669
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2020,528
Other Named Crops,Rabi,2009,6653
Onion,Rabi,2009,1446
Wheat,Rabi,2009,1210
Tomato,Rabi,2009,169
Maize (Makka),Kharif,2020,212
Cotton (Kapas),Kharif,2020,3616
Soybean (bhat),Kharif,2020,864
Sorghum (Jowar/Great Millet),Kharif,2020,190
Other Named Crops,Rabi,2010,7989
Onion,Rabi,2010,1956
Soybean (bhat),Rabi,2010,598
Watermelon,Rabi,2010,274
Wheat,Rabi,2010,1047
Groundnut (pea nut/mung phalli),Rabi,2010,550
Cotton (Kapas),Rabi,2010,705
Other Named Crops,Zaid,2009,3258
Onion,Zaid,2009,544
Tomato,Zaid,2009,278
Cotton (Kapas),Zaid,2009,845
Wheat,Zaid,2009,62
Watermelon,Zaid,2009,57
Soybean (bhat),Zaid,2009,165
Cotton (Kapas),Kharif,2009,8147
Other Named Crops,Kharif,2009,5985
Other Named Crops,Zaid,2018,4670
Pigeon pea (red gram/arhar/tur),Zaid,2018,332
Cotton (Kapas),Zaid,2018,2172
Groundnut (pea nut/mung phalli),Zaid,2018,315
Sugarcane (Noble Cane),Zaid,2018,1697
Tomato,Zaid,2018,520
Chillies,Zaid,2018,1029
Mango,Zaid,2018,296
Pomegranate,Zaid,2018,711
Onion,Zaid,2018,1267
Turmeric,Zaid,2018,704
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,2018,494
Soybean (bhat),Zaid,2018,659
Brinjal,Zaid,2018,724
Sorghum (Jowar/Great Millet),Zaid,2018,80
Bhindi(Okra/Ladysfinger),Zaid,2018,607
Pomegranate,Kharif,2012,632
Cotton (Kapas),Kharif,2012,16749
Other Named Crops,Kharif,2012,13787
Soybean (bhat),Kharif,2012,4276
Onion,Kharif,2012,572
Wheat,Kharif,2012,257
Tomato,Kharif,2012,598
Pigeon pea (red gram/arhar/tur),Kharif,2012,430
Brinjal,Kharif,2012,112
Maize (Makka),Zaid,2018,165
Groundnut (pea nut/mung phalli),Kharif,2012,198
Turmeric,Kharif,2012,220
Onion,Kharif,2009,1066
Onion,Rabi,2008,21
Other Named Crops,Rabi,2008,66
Chillies,Rabi,2008,2
Wheat,Rabi,2008,18
Pigeon pea (red gram/arhar/tur),Rabi,2008,3
Tomato,Kharif,2009,784
Wheat,Kharif,2009,88
Soybean (bhat),Kharif,2009,1297
Mango,Kharif,2020,106
Sugarcane (Noble Cane),Kharif,2020,579
Groundnut (pea nut/mung phalli),Kharif,2020,117
Chillies,Kharif,2020,703
Onion,Kharif,2020,1817
Pomegranate,Kharif,2020,127
Pigeon pea (red gram/arhar/tur),Kharif,2020,1262
Bhindi(Okra/Ladysfinger),Kharif,2020,104
Cotton (Kapas),Rabi,2009,405
Onion,Rabi,2021,8493
Groundnut (pea nut/mung phalli),Rabi,2021,2930
Turmeric,Rabi,2021,697
Pigeon pea (red gram/arhar/tur),Rabi,2021,2853
Cotton (Kapas),Rabi,2021,1826
Watermelon,Rabi,2021,1056
Sugarcane (Noble Cane),Rabi,2021,3466
Other Named Crops,Rabi,2021,13546
Mango,Rabi,2021,1060
Wheat,Rabi,2021,2437
Chillies,Rabi,2021,2064
Bhindi(Okra/Ladysfinger),Rabi,2021,931
Sorghum (Jowar/Great Millet),Rabi,2021,1093
Pomegranate,Rabi,2021,612
