district,block,count
RAIGARH,SHRIVARDHAN,101
RAIGARH,MAHAD,400
GADCHIROLI,KORCHI,113
THANE,VASAI,335
JALNA,0,12050
WASHIM,0,7493
GADCHIROLI,ETAPALLI,95
THANE,VIKRAMGAD,101
WASHIM,9999,93
MUMBAI,0,1392
WARDHA,0,3548
NANDURBAR,0,1240
OSMANABAD,0,7675
LATUR,0,6859
SINDHUDURG,0,600
RAIGARH,0,1436
PARBHANI,0,11014
THANE,0,1174
SATARA,0,6382
RATNAGIRI,RAJAPUR,738
NANDURBAR,AKKALKUWA,707
KOLHAPUR,0,5254
DHULE,0,4319
NANDED,0,13385
GADCHIROLI,0,705
RATNAGIRI,0,517
NAGPUR,0,5327
THANE,WADA,311
NANDED,SAONER,1
9999,0,2754
YEVATMAL,BHOR,1
SINDHUDURG,DODAMARG,431
PALGHAR,0,147
Mumbai Suburban,ANDHERI,119
THANE,KALYAN,975
SINDHUDURG,MALVAN,555
THANE,JAVHAR,216
PALGHAR,DAHANU,242
NANDED,HINGNA,2
PALGHAR,JAVHAR,59
Mumbai Suburban,0,38
Mumbai Suburban,BORIVALI,140
Mumbai Suburban,KURLA,45
THANE,ULHASNAGAR,53
AURANGABAD,BHATKULI,1
AKOLA,AKOLE,2
AHMADNAGAR,BODWAD,3
BULDANA,BIHPUR,2
null,9999,52
PUNE,SAILU,1
SATARA,null,1
LATUR,KHANDALA,1
JALNA,AMALNER,4
OSMANABAD,SURGANA,1
PALGHAR,MOKHADA,32
BULDANA,PUSAD,1
HINGOLI,KALAMB,2
AMRAVATI,NAGAR,1
WARDHA,MANGRULPIR,1
PUNE,JINTUR,2
AURANGABAD,BILOLI,1
AURANGABAD,CHIKHALDARA,2
AURANGABAD,NEVASA,1
PALGHAR,TALASARI,33
BHANDARA,null,1
MUMBAI,null,3
JALNA,null,2
AURANGABAD,null,4
OSMANABAD,Tuljapur,10
OSMANABAD,Washi,9
OSMANABAD,Dharashiv,20
OSMANABAD,Kalamb,17
OSMANABAD,Omerga,11
OSMANABAD,Paranda,7
BEED,Georai,35
BEED,Ashti,19
BEED,Parali V .,3
BEED,Beed,18
BEED,Ambajogai,12
BEED,Vaijapur,3
BEED,NA,4
BEED,Kaij,8
BEED,Khultabad,5
BEED,Sindewahi,6
NANDED,Kinwat,43
PARBHANI,Purna,26
PARBHANI,Jintur,38
PARBHANI,Manwat,36
PARBHANI,Sailu,39
PARBHANI,Pathri,22
PARBHANI,Palam,13
PARBHANI,Sonpeth,7
PARBHANI,Parbhani,12
PARBHANI,Tala,5
PARBHANI,Gangakhed,19
AURANGABAD,Sillod,17
AURANGABAD,Vaijapur,28
JALNA,Jalna,37
JALNA,Badnapur,25
JALNA,Mantha,17
JALNA,Bhokardan,24
JALNA,Ambad,28
JALNA,Ghansawangi,25
SOLAPUR,Akkalkot,23
SOLAPUR,Malshiras,25
SOLAPUR,Mangalvedhe,14
SOLAPUR,Madha,26
SOLAPUR,Pandharpur,10
SOLAPUR,South Solapur,18
SOLAPUR,Barshi,44
SOLAPUR,NA,6
SOLAPUR,Karmala,17
SOLAPUR,Mohol,15
AURANGABAD,Gangapur,51
AURANGABAD,Chhatrapati Sambhajinagar,10
AURANGABAD,Paithan,17
AURANGABAD,Khultabad,8
AURANGABAD,Kanand,6
AURANGABAD,Phulambri,14
AURANGABAD,NA,3
JALNA,Jafrabad,13
JALNA,Partur,10
JALNA,NA,11
JALNA,Bhivapur,4
JALNA,Renapur,3
WARDHA,Wardha,7
WARDHA,Arvi,11
WARDHA,Karanja,10
WARDHA,Deoli,17
WARDHA,NA,2
NAGPUR,Saoner,8
NAGPUR,Kuhi,8
NAGPUR,Mouda,3
NAGPUR,Narkhed,12
NAGPUR,Katol,21
NAGPUR,Parseoni,11
NAGPUR,Umred,12
NAGPUR,Kamptee,1
NAGPUR,Bhivapur,4
NAGPUR,NA,6
BHANDARA,Lakhani,3
BHANDARA,Tumsar,4
BHANDARA,Pauni,4
BHANDARA,Mohadi,18
BHANDARA,Lakhandur,2
AKOLA,null,3
BULDANA,Jalgaonjamod,22
BULDANA,Lonar,18
BULDANA,Khamgaon,31
BULDANA,Sindkhedraja,18
BULDANA,Chikhli,17
BULDANA,D. Raja,5
BULDANA,Motala,28
BULDANA,Nandura,33
BULDANA,Shegaon,15
BULDANA,Mehkar,23
BULDANA,Malkapur,37
BULDANA,Buldana,19
BULDANA,NA,9
AKOLA,Akola,34
AKOLA,Balapur,20
AKOLA,Patur,29
AKOLA,Barshitakli,26
AKOLA,NA,27
NANDED,Hadgaon,41
NANDED,Mahur,37
NANDED,Deglur,34
NANDED,Himayatnagar,29
NANDED,Biloli,16
NANDED,Bhokar,13
NANDED,Dharmabad,14
NANDED,Nanded,12
NANDED,Kandhar,12
NANDED,Naigaon (Kh),27
NANDED,Loha,8
LATUR,Nilanga,22
LATUR,Latur,14
LATUR,Shirur Anantpal,3
LATUR,Ausa,36
AKOLA,Akot,10
AKOLA,Murtijapur,16
AKOLA,Telhara,12
AMRAVATI,Daryapur,2
AMRAVATI,Morshi,21
AMRAVATI,Chandur Bz,8
AMRAVATI,Achalpur,20
AMRAVATI,Chandur Ril,20
AMRAVATI,Amravati,6
AMRAVATI,Warud,16
AMRAVATI,Anjangaon S,18
AMRAVATI,Dhamangaon Ril,5
AMRAVATI,NA,9
AMRAVATI,Nandgaon Kh,9
AMRAVATI,Bhatkuli,9
CHANDRAPUR,Nagbhid,2
CHANDRAPUR,Chimur,12
CHANDRAPUR,Jiwati,11
NANDED,Modkhed,6
NANDED,Ardhapur,6
NANDED,Mokhed,11
NANDED,NA,15
NANDED,Umri,15
LATUR,Jalkot,12
LATUR,Deoni,4
LATUR,Chakur,11
LATUR,Ahemadpur,10
AHMADNAGAR,null,13
NASIK,Deola,6
NASIK,Nandgaon,15
NASIK,Malegaon,28
NASIK,Sinnar,42
NASIK,Yeola,34
NASIK,Dindori,10
NASIK,Chandwad,30
NASIK,Nashik,9
NASIK,Niphad,7
NASIK,NA,4
NASIK,Igatpuri,1
KOLHAPUR,null,11
JALGAON,Muktainagar,3
JALGAON,Jamner,18
JALGAON,Jalgaon,10
JALGAON,Pachora,14
JALGAON,Raver,3
JALGAON,Chalisgaon,18
JALGAON,Bodwad,6
JALGAON,Dharangaon,16
JALGAON,Parola,15
JALGAON,Amalner,22
JALGAON,Erandol,10
JALGAON,Yawal,2
JALGAON,NA,2
PUNE,Khed,18
PUNE,Baramati,20
PUNE,Indapur,9
PUNE,Purandar,4
PUNE,Shirur,49
PUNE,NA,1
PUNE,Daund,9
PUNE,Ambegaon,10
AHMADNAGAR,Nevasa,16
AHMADNAGAR,Kopargaon,14
AHMADNAGAR,Sangamner,25
AHMADNAGAR,Jamkhed,5
AHMADNAGAR,Shevgaon,14
AHMADNAGAR,Shrigonda,18
AHMADNAGAR,Pathardi,37
AHMADNAGAR,Akole,13
AHMADNAGAR,Rahuri,12
AHMADNAGAR,Parner,11
AHMADNAGAR,Rahata,6
AHMADNAGAR,Ahilyanagar,25
AHMADNAGAR,Shrirampur,23
AHMADNAGAR,NA,34
AHMADNAGAR,Karjat,14
SATARA,Khatav,15
SATARA,Patan,11
SATARA,Karad,10
SATARA,Koregaon,4
SATARA,Wai,4
SATARA,Jawali,4
SATARA,Phaltan,5
SANGLI,Valva-Islampur,15
SANGLI,Tasgaon,20
SANGLI,Miraj,8
SINDHUDURG,Vengurla,2
SANGLI,Kavathemahankal,16
SANGLI,Jath,4
SANGLI,Shirala,16
SANGLI,Atpadi,6
NASIK,Kalwan,4
DHULE,Shirpur,27
DHULE,Sakri,20
DHULE,Dhule,5
DHULE,Shindkhede,8
PUNE,Junnar,6
KOLHAPUR,Chandgad,44
KOLHAPUR,Kagal,10
KOLHAPUR,Hatkanangale,7
KOLHAPUR,Karveer,8
KOLHAPUR,Shirol,10
KOLHAPUR,NA,3
KOLHAPUR,Radhanagari,1
KOLHAPUR,Panhala,5
SANGLI,Khanapur-Vita,9
SINDHUDURG,Sawantwadi,6
SINDHUDURG,Vaibhavawadi,1
HINGOLI,Hingoli,20
HINGOLI,Kalamnuri,18
HINGOLI,Basmat,24
HINGOLI,Aundha Nagnath,21
HINGOLI,Sengaon,36
HINGOLI,NA,2
HINGOLI,Ajara,1
HINGOLI,,7
YEVATMAL,Mahagaon,24
YEVATMAL,Pusad,33
YEVATMAL,Ner,14
YEVATMAL,Yavatmal,4
YEVATMAL,Kelapur,4
YEVATMAL,Umarkhed,15
YEVATMAL,Kalamb,13
YEVATMAL,Arni,28
YEVATMAL,Digras,34
YEVATMAL,Darwha,26
YEVATMAL,Ralegaon,10
YEVATMAL,Ghatanji,11
YEVATMAL,Zari Jamni,4
WASHIM,Malegaon,32
WASHIM,Risod,27
WASHIM,Mangrulpir,41
WASHIM,Washim,26
WASHIM,Karanja,38
WASHIM,Manora,23
WASHIM,,3
NANDURBAR,Nandurbar,9
NANDURBAR,Gangakhed,2
GONDIYA,Sadak Arjuni,6
GONDIYA,Amgaon,8
GONDIYA,Gondia,5
PALGHAR,Mangaon,1
NANDURBAR,Navapur,1
NANDURBAR,Akkalkuwa,5
MUMBAI,NA,13
GADCHIROLI,Mulchera,1
RATNAGIRI,Rajapur,2
THANE,Shahapur,3
THANE,Murbad,7
Mumbai Suburban,NA,3
LATUR,AMBAD,1
OSMANABAD,LONAR,1
JALNA,JALGAON,1
WASHIM,ARNI,1
WASHIM,JATH,1
SOLAPUR,MALVAN,2
BULDANA,MOHOL,3
BULDANA,BHANDARA,1
HINGOLI,AHERI,2
PARBHANI,KARANJA,2
THANE,null,1
PUNE,null,3
NAGPUR,null,7
JALGAON,Chopda,5
JALGAON,,2
SOLAPUR,Solapur North,6
SOLAPUR,Sangola,8
SOLAPUR,Kalamb,4
PARBHANI,Dapoli,2
PARBHANI,NA,3
KOLHAPUR,Shahuwadi,2
RATNAGIRI,Dapoli,2
NASIK,,1
THANE,Kalyan,3
GONDIYA,null,1
MUMBAI,7875,1
GONDIYA,Goregaon,7
PALGHAR,Dahanu,5
NANDED,null,3
LATUR,null,5
AMRAVATI,null,3
NASIK,Baglan,7
NASIK,Baramati,3
HINGOLI,null,1
AMRAVATI,Tiwsa,4
AMRAVATI,Jalgaonjamod,2
CHANDRAPUR,null,2
CHANDRAPUR,Warora,22
CHANDRAPUR,Brahmapuri,3
CHANDRAPUR,Korpana,2
GADCHIROLI,Gadchiroli,3
GADCHIROLI,Desaiganj (Wadsa),3
YEVATMAL,NA,4
HINGOLI,Partur,1
OSMANABAD,Bhoom,5
OSMANABAD,Lohara,7
BEED,Shirur ( Ka ),2
BEED,Patoda,4
BEED,,4
BEED,Dharur,3
BEED,Majalgaon,6
DHULE,NA,1
DHULE,,1
PUNE,Haveli,3
BULDANA,,3
AHMADNAGAR,,5
SATARA,Man,6
JALGAON,null,4
WARDHA,Hinganghat,2
WARDHA,Ashti,3
WARDHA,,2
LATUR,Renapur,2
LATUR,Udgir,2
BULDANA,Sangrampur,7
NAGPUR,Nagpur,5
NAGPUR,Ramtek,4
BHANDARA,Sakoli,3
RAIGARH,NA,1
SATARA,KAVATHEMAHANKAL,3
NASIK,NAVAPUR,1
AHMADNAGAR,GHANSAWANGI,3
PARBHANI,WADA,1
JALNA,BHADGAON,1
SOLAPUR,BHIWANDI,1
NASIK,KUHI,1
BHANDARA,DHARUR,1
AMRAVATI,AKOT,1
NANDURBAR,null,2
WASHIM,null,1
AURANGABAD,Soegaon,2
BEED,Wadwani,8
LATUR,NA,1
BHANDARA,Bhandara,5
BHANDARA,NA,2
CHANDRAPUR,Rajura,3
CHANDRAPUR,,2
CHANDRAPUR,Gondpipri,3
PALGHAR,Palghar,2
GONDIYA,Salekasa,2
GADCHIROLI,null,1
GADCHIROLI,Dhanora,3
YEVATMAL,,2
YEVATMAL,Babhulgaon,1
JALGAON,Bhadgaon,3
SOLAPUR,null,2
KOLHAPUR,Gadhinglaj,4
NASIK,null,2
DHULE,null,1
PUNE,Maval,2
AHMADNAGAR,7894,1
SATARA,NA,1
SATARA,Satara,4
RATNAGIRI,null,2
RATNAGIRI,Lanja,1
SANGLI,Kadegaon,2
NASIK,KALMESHWAR,1
NASIK,NAGPUR,1
PUNE,PATHRI,1
NANDED,DEONI,1
AKOLA,KALAMB,2
OSMANABAD,PARTUR,2
OSMANABAD,GANGAKHED,1
JALNA,GAGAN BAWADA,1
DHULE,AKOLE,1
GONDIYA,KORCHI,1
SANGLI,JAWALI,1
CHANDRAPUR,BADCHANA,1
PUNE,PURNA,1
AURANGABAD,WARUD,1
BULDANA,GEORAI,1
JALGAON,AMRAVATI,1
JALGAON,AKOLE,1
HINGOLI,AURANGABAD,1
BULDANA,AMBAJOGAI,1
NASIK,ARDHAPUR,1
PALGHAR,null,2
RAIGARH,null,2
SOLAPUR,,2
