district,year,month,count
OSMANABAD,2011,10,54
AMRAVATI,2011,10,52
SOLAPUR,2011,10,61
SANGLI,2011,10,32
LATUR,2011,10,48
AKOLA,2011,10,44
AHMADNAGAR,2011,10,164
YEVATMAL,2011,10,72
PARBHANI,2011,10,79
PUNE,2011,10,42
SINDHUDURG,2011,10,3
DHULE,2011,10,26
RAIGARH,2011,10,3
BHANDARA,2011,10,14
THANE,2011,10,6
SATARA,2011,10,27
NANDURBAR,2017,12,82
MUMBAI,2013,9,15
RAIGARH,2017,12,51
AURANGABAD,2013,2,1423
KOLHAPUR,2013,2,677
PUNE,2013,2,1404
LATUR,2013,2,876
YEVATMAL,2013,2,1220
BULDANA,2013,2,1351
WARDHA,2013,2,382
OSMANABAD,2013,2,778
SINDHUDURG,2013,2,68
AHMADNAGAR,2013,2,2651
DHULE,2013,2,607
SATARA,2013,2,743
JALGAON,2013,2,1352
SANGLI,2013,2,774
WASHIM,2013,2,777
HINGOLI,2013,2,835
PARBHANI,2013,2,1047
SOLAPUR,2013,2,1771
NASIK,2013,2,2110
JALNA,2013,2,1107
AMRAVATI,2013,2,1092
CHANDRAPUR,2013,2,352
THANE,2013,2,172
AKOLA,2013,2,950
BHANDARA,2013,2,350
NANDED,2013,2,1222
BEED,2013,2,1152
GADCHIROLI,2013,2,161
RAIGARH,2013,2,102
MUMBAI,2013,2,79
RATNAGIRI,2013,2,92
GONDIYA,2013,2,203
NAGPUR,2013,2,532
NANDURBAR,2013,2,164
RATNAGIRI,2023,3,11
MUMBAI,2023,3,10
0,2020,12,7
NANDED,2011,10,61
KOLHAPUR,2011,10,24
NAGPUR,2011,10,30
9999,2013,2,20
SINDHUDURG,2017,12,31
9999,2013,9,21
RAIGARH,2013,9,20
RATNAGIRI,2013,9,19
RATNAGIRI,2017,12,38
WARDHA,2022,5,95
HINGOLI,2022,5,275
GONDIYA,2022,5,57
MUMBAI,2022,5,15
KOLHAPUR,2022,5,259
BHANDARA,2022,5,69
PARBHANI,2022,5,377
NANDURBAR,2022,5,28
PALGHAR,2022,11,7
CHANDRAPUR,2022,5,67
0,2020,6,13
SATARA,2020,6,27
AKOLA,2020,6,65
WASHIM,2020,6,59
KOLHAPUR,2020,6,22
NAGPUR,2020,6,35
NASIK,2020,6,54
OSMANABAD,2020,6,27
BULDANA,2020,6,109
SANGLI,2020,6,23
YEVATMAL,2020,6,103
NANDED,2020,6,96
THANE,2020,6,4
JALNA,2020,6,52
SINDHUDURG,2022,5,13
BULDANA,2009,2,62
BEED,2009,2,245
PUNE,2009,2,156
AURANGABAD,2009,2,171
PARBHANI,2009,2,87
SATARA,2009,2,177
9999,2009,2,65
SOLAPUR,2009,2,161
KOLHAPUR,2009,2,152
AHMADNAGAR,2009,2,762
NASIK,2009,2,217
NANDED,2009,2,77
JALNA,2009,2,57
OSMANABAD,2009,2,140
JALGAON,2009,2,130
AMRAVATI,2009,2,139
SANGLI,2009,2,140
THANE,2009,2,38
YEVATMAL,2009,2,45
PARBHANI,2020,6,50
AHMADNAGAR,2020,6,58
AMRAVATI,2020,6,55
JALGAON,2020,6,61
HINGOLI,2020,6,20
BHANDARA,2020,6,10
AURANGABAD,2019,8,4309
PARBHANI,2019,8,5717
BEED,2019,8,3807
AHMADNAGAR,2019,8,3343
BULDANA,2019,8,5483
HINGOLI,2019,8,3332
NANDED,2019,8,5609
CHANDRAPUR,2019,8,764
JALNA,2019,8,4579
LATUR,2019,8,2409
NASIK,2019,8,3129
AKOLA,2019,8,2318
PUNE,2019,8,1205
YEVATMAL,2019,8,4539
SOLAPUR,2019,8,3082
WARDHA,2019,8,791
WASHIM,2019,8,4245
GONDIYA,2019,8,164
OSMANABAD,2019,8,2096
JALGAON,2019,8,2332
AMRAVATI,2019,8,2122
DHULE,2019,8,680
SANGLI,2019,8,705
SATARA,2019,8,631
PARBHANI,2010,1,96
JALGAON,2010,1,135
JALNA,2010,1,132
BEED,2010,1,143
AHMADNAGAR,2010,1,339
OSMANABAD,2010,1,106
NASIK,2010,1,138
AURANGABAD,2010,1,236
PUNE,2010,1,67
BHANDARA,2010,1,19
NAGPUR,2010,1,37
MUMBAI,2010,1,5
KOLHAPUR,2010,1,42
SANGLI,2010,1,70
DHULE,2010,1,59
LATUR,2010,1,58
BULDANA,2010,1,135
NANDED,2010,1,92
9999,2009,4,144
KOLHAPUR,2009,4,167
AMRAVATI,2009,4,282
THANE,2009,4,47
NANDURBAR,2009,4,21
PARBHANI,2009,4,137
AKOLA,2009,4,99
SATARA,2009,4,255
AURANGABAD,2009,4,175
WASHIM,2009,4,56
0,2022,11,1
GONDIYA,2018,3,137
MUMBAI,2018,3,16
0,2018,3,14
RATNAGIRI,2018,3,29
SINDHUDURG,2018,3,27
BEED,2009,4,217
AHMADNAGAR,2009,4,792
BULDANA,2009,4,91
JALNA,2009,4,88
PUNE,2009,4,263
OSMANABAD,2009,4,109
JALGAON,2009,4,156
YEVATMAL,2009,4,49
SOLAPUR,2009,4,173
NASIK,2009,4,223
NAGPUR,2009,4,109
SANGLI,2009,4,199
